YMD,Year,Month,Day,week,week_year,Season_Year,Season,Cell2,EMD,JD,LMB_Spawning,CC_Spawning,NP_Spawning
2011-01-08,2011,1,8,2,2 - 2011,Winter 2010,Winter,Before,Before,8,,,
2011-01-09,2011,1,9,3,3 - 2011,Winter 2010,Winter,Before,Before,9,,,
2011-01-10,2011,1,10,3,3 - 2011,Winter 2010,Winter,Before,Before,10,,,
2011-01-11,2011,1,11,3,3 - 2011,Winter 2010,Winter,Before,Before,11,,,
2011-01-12,2011,1,12,3,3 - 2011,Winter 2010,Winter,Before,Before,12,,,
2011-01-13,2011,1,13,3,3 - 2011,Winter 2010,Winter,Before,Before,13,,,
2011-01-14,2011,1,14,3,3 - 2011,Winter 2010,Winter,Before,Before,14,,,
2011-01-15,2011,1,15,3,3 - 2011,Winter 2010,Winter,Before,Before,15,,,
2011-01-16,2011,1,16,4,4 - 2011,Winter 2010,Winter,Before,Before,16,,,
2011-01-17,2011,1,17,4,4 - 2011,Winter 2010,Winter,Before,Before,17,,,
2011-01-18,2011,1,18,4,4 - 2011,Winter 2010,Winter,Before,Before,18,,,
2011-01-19,2011,1,19,4,4 - 2011,Winter 2010,Winter,Before,Before,19,,,
2011-01-20,2011,1,20,4,4 - 2011,Winter 2010,Winter,Before,Before,20,,,
2011-01-21,2011,1,21,4,4 - 2011,Winter 2010,Winter,Before,Before,21,,,
2011-01-22,2011,1,22,4,4 - 2011,Winter 2010,Winter,Before,Before,22,,,
2011-01-23,2011,1,23,5,5 - 2011,Winter 2010,Winter,Before,Before,23,,,
2011-01-24,2011,1,24,5,5 - 2011,Winter 2010,Winter,Before,Before,24,,,
2011-01-25,2011,1,25,5,5 - 2011,Winter 2010,Winter,Before,Before,25,,,
2011-01-26,2011,1,26,5,5 - 2011,Winter 2010,Winter,Before,Before,26,,,
2011-01-27,2011,1,27,5,5 - 2011,Winter 2010,Winter,Before,Before,27,,,
2011-01-28,2011,1,28,5,5 - 2011,Winter 2010,Winter,Before,Before,28,,,
2011-01-29,2011,1,29,5,5 - 2011,Winter 2010,Winter,Before,Before,29,,,
2011-01-30,2011,1,30,6,6 - 2011,Winter 2010,Winter,Before,Before,30,,,
2011-01-31,2011,1,31,6,6 - 2011,Winter 2010,Winter,Before,Before,31,,,
2011-02-01,2011,2,1,6,6 - 2011,Winter 2010,Winter,Before,Before,32,,,
2011-02-02,2011,2,2,6,6 - 2011,Winter 2010,Winter,Before,Before,33,,,
2011-02-03,2011,2,3,6,6 - 2011,Winter 2010,Winter,Before,Before,34,,,
2011-02-04,2011,2,4,6,6 - 2011,Winter 2010,Winter,Before,Before,35,,,
2011-02-05,2011,2,5,6,6 - 2011,Winter 2010,Winter,Before,Before,36,,,
2011-02-06,2011,2,6,7,7 - 2011,Winter 2010,Winter,Before,Before,37,,,
2011-02-07,2011,2,7,7,7 - 2011,Winter 2010,Winter,Before,Before,38,,,
2011-02-08,2011,2,8,7,7 - 2011,Winter 2010,Winter,Before,Before,39,,,
2011-02-09,2011,2,9,7,7 - 2011,Winter 2010,Winter,Before,Before,40,,,
2011-02-10,2011,2,10,7,7 - 2011,Winter 2010,Winter,Before,Before,41,,,
2011-02-11,2011,2,11,7,7 - 2011,Winter 2010,Winter,Before,Before,42,,,
2011-02-12,2011,2,12,7,7 - 2011,Winter 2010,Winter,Before,Before,43,,,
2011-02-13,2011,2,13,8,8 - 2011,Winter 2010,Winter,Before,Before,44,,,
2011-02-14,2011,2,14,8,8 - 2011,Winter 2010,Winter,Before,Before,45,,,
2011-02-15,2011,2,15,8,8 - 2011,Winter 2010,Winter,Before,Before,46,,,
2011-02-16,2011,2,16,8,8 - 2011,Winter 2010,Winter,Before,Before,47,,,
2011-02-17,2011,2,17,8,8 - 2011,Winter 2010,Winter,Before,Before,48,,,
2011-02-18,2011,2,18,8,8 - 2011,Winter 2010,Winter,Before,Before,49,,,
2011-02-19,2011,2,19,8,8 - 2011,Winter 2010,Winter,Before,Before,50,,,
2011-02-20,2011,2,20,9,9 - 2011,Winter 2010,Winter,Before,Before,51,,,
2011-02-21,2011,2,21,9,9 - 2011,Winter 2010,Winter,Before,Before,52,,,
2011-02-22,2011,2,22,9,9 - 2011,Winter 2010,Winter,Before,Before,53,,,
2011-02-23,2011,2,23,9,9 - 2011,Winter 2010,Winter,Before,Before,54,,,
2011-02-24,2011,2,24,9,9 - 2011,Winter 2010,Winter,Before,Before,55,,,
2011-02-25,2011,2,25,9,9 - 2011,Winter 2010,Winter,Before,Before,56,,,
2011-02-26,2011,2,26,9,9 - 2011,Winter 2010,Winter,Before,Before,57,,,
2011-02-27,2011,2,27,10,10 - 2011,Winter 2010,Winter,Before,Before,58,,,
2011-02-28,2011,2,28,10,10 - 2011,Winter 2010,Winter,Before,Before,59,,,
2011-03-01,2011,3,1,10,10 - 2011,Winter 2010,Winter,Before,Before,60,,,
2011-03-02,2011,3,2,10,10 - 2011,Winter 2010,Winter,Before,Before,61,,,
2011-03-03,2011,3,3,10,10 - 2011,Winter 2010,Winter,Before,Before,62,,,
2011-03-04,2011,3,4,10,10 - 2011,Winter 2010,Winter,Before,Before,63,,,
2011-03-05,2011,3,5,10,10 - 2011,Winter 2010,Winter,Before,Before,64,,,
2011-03-06,2011,3,6,11,11 - 2011,Winter 2010,Winter,Before,Before,65,,,
2011-03-07,2011,3,7,11,11 - 2011,Winter 2010,Winter,Before,Before,66,,,
2011-03-08,2011,3,8,11,11 - 2011,Winter 2010,Winter,Before,Before,67,,,
2011-03-09,2011,3,9,11,11 - 2011,Winter 2010,Winter,Before,Before,68,,,
2011-03-10,2011,3,10,11,11 - 2011,Winter 2010,Winter,Before,Before,69,,,
2011-03-11,2011,3,11,11,11 - 2011,Winter 2010,Winter,Before,Before,70,,,
2011-03-12,2011,3,12,11,11 - 2011,Winter 2010,Winter,Before,Before,71,,,
2011-03-13,2011,3,13,12,12 - 2011,Winter 2010,Winter,Before,Before,72,,,
2011-03-14,2011,3,14,12,12 - 2011,Winter 2010,Winter,Before,Before,73,,,
2011-03-15,2011,3,15,12,12 - 2011,Winter 2010,Winter,Before,Before,74,,,Spawning
2011-03-16,2011,3,16,12,12 - 2011,Winter 2010,Winter,Before,Before,75,,,Spawning
2011-03-17,2011,3,17,12,12 - 2011,Winter 2010,Winter,Before,Before,76,,,Spawning
2011-03-18,2011,3,18,12,12 - 2011,Winter 2010,Winter,Before,Before,77,,,Spawning
2011-03-19,2011,3,19,12,12 - 2011,Winter 2010,Winter,Before,Before,78,,,Spawning
2011-03-20,2011,3,20,13,13 - 2011,Winter 2010,Winter,Before,Before,79,,,Spawning
2011-03-21,2011,3,21,13,13 - 2011,Winter 2010,Winter,Before,Before,80,,,Spawning
2011-03-22,2011,3,22,13,13 - 2011,Winter 2010,Winter,Before,Before,81,,,Spawning
2011-03-23,2011,3,23,13,13 - 2011,Winter 2010,Winter,Before,Before,82,,,Spawning
2011-03-24,2011,3,24,13,13 - 2011,Winter 2010,Winter,Before,Before,83,,,Spawning
2011-03-25,2011,3,25,13,13 - 2011,Winter 2010,Winter,Before,Before,84,,,Spawning
2011-03-26,2011,3,26,13,13 - 2011,Winter 2010,Winter,Before,Before,85,,,Spawning
2011-03-27,2011,3,27,14,14 - 2011,Winter 2010,Winter,Before,Before,86,,,Spawning
2011-03-28,2011,3,28,14,14 - 2011,Winter 2010,Winter,Before,Before,87,,,Spawning
2011-03-29,2011,3,29,14,14 - 2011,Winter 2010,Winter,Before,Before,88,,,Spawning
2011-03-30,2011,3,30,14,14 - 2011,Winter 2010,Winter,Before,Before,89,,,Spawning
2011-03-31,2011,3,31,14,14 - 2011,Winter 2010,Winter,Before,Before,90,,,Spawning
2011-04-01,2011,4,1,14,14 - 2011,Winter 2010,Winter,Before,Before,91,,,Spawning
2011-04-02,2011,4,2,14,14 - 2011,Winter 2010,Winter,Before,Before,92,,,Spawning
2011-04-03,2011,4,3,15,15 - 2011,Winter 2010,Winter,Before,Before,93,,,Spawning
2011-04-04,2011,4,4,15,15 - 2011,Winter 2010,Winter,Before,Before,94,,,Spawning
2011-04-05,2011,4,5,15,15 - 2011,Winter 2010,Winter,Before,Before,95,,,Spawning
2011-04-06,2011,4,6,15,15 - 2011,Winter 2010,Winter,Before,Before,96,,,Spawning
2011-04-07,2011,4,7,15,15 - 2011,Winter 2010,Winter,Before,Before,97,,,Spawning
2011-04-08,2011,4,8,15,15 - 2011,Winter 2010,Winter,Before,Before,98,,,Spawning
2011-04-09,2011,4,9,15,15 - 2011,Winter 2010,Winter,Before,Before,99,,,Spawning
2011-04-10,2011,4,10,16,16 - 2011,Winter 2010,Winter,Before,Before,100,,,Spawning
2011-04-11,2011,4,11,16,16 - 2011,Winter 2010,Winter,Before,Before,101,,,Spawning
2011-04-12,2011,4,12,16,16 - 2011,Winter 2010,Winter,Before,Before,102,,,Spawning
2011-04-13,2011,4,13,16,16 - 2011,Winter 2010,Winter,Before,Before,103,,,Spawning
2011-04-14,2011,4,14,16,16 - 2011,Winter 2010,Winter,Before,Before,104,,,Spawning
2011-04-15,2011,4,15,16,16 - 2011,Winter 2010,Winter,Before,Before,105,,,Spawning
2011-04-16,2011,4,16,16,16 - 2011,Winter 2010,Winter,Before,Before,106,,,Spawning
2011-04-17,2011,4,17,17,17 - 2011,Winter 2010,Winter,Before,Before,107,,,Spawning
2011-04-18,2011,4,18,17,17 - 2011,Winter 2010,Winter,Before,Before,108,,,Spawning
2011-04-19,2011,4,19,17,17 - 2011,Winter 2010,Winter,Before,Before,109,,,Spawning
2011-04-20,2011,4,20,17,17 - 2011,Winter 2010,Winter,Before,Before,110,,,Spawning
2011-04-21,2011,4,21,17,17 - 2011,Winter 2010,Winter,Before,Before,111,,,Spawning
2011-04-22,2011,4,22,17,17 - 2011,Spring 2011,Spring,Before,Before,112,,,Spawning
2011-04-23,2011,4,23,17,17 - 2011,Spring 2011,Spring,Before,Before,113,,,Spawning
2011-04-24,2011,4,24,18,18 - 2011,Spring 2011,Spring,Before,Before,114,,,Spawning
2011-04-25,2011,4,25,18,18 - 2011,Spring 2011,Spring,Before,Before,115,,,Spawning
2011-04-26,2011,4,26,18,18 - 2011,Spring 2011,Spring,Before,Before,116,,,Spawning
2011-04-27,2011,4,27,18,18 - 2011,Spring 2011,Spring,Before,Before,117,,,Spawning
2011-04-28,2011,4,28,18,18 - 2011,Spring 2011,Spring,Before,Before,118,,,Spawning
2011-04-29,2011,4,29,18,18 - 2011,Spring 2011,Spring,Before,Before,119,,,Spawning
2011-04-30,2011,4,30,18,18 - 2011,Spring 2011,Spring,Before,Before,120,,,Spawning
2011-05-01,2011,5,1,19,19 - 2011,Spring 2011,Spring,Before,Before,121,Spawning,Spawning,
2011-05-02,2011,5,2,19,19 - 2011,Spring 2011,Spring,Before,Before,122,Spawning,Spawning,
2011-05-03,2011,5,3,19,19 - 2011,Spring 2011,Spring,Before,Before,123,Spawning,Spawning,
2011-05-04,2011,5,4,19,19 - 2011,Spring 2011,Spring,Before,Before,124,Spawning,Spawning,
2011-05-05,2011,5,5,19,19 - 2011,Spring 2011,Spring,Before,Before,125,Spawning,Spawning,
2011-05-06,2011,5,6,19,19 - 2011,Spring 2011,Spring,Before,Before,126,Spawning,Spawning,
2011-05-07,2011,5,7,19,19 - 2011,Spring 2011,Spring,Before,Before,127,Spawning,Spawning,
2011-05-08,2011,5,8,20,20 - 2011,Spring 2011,Spring,Before,Before,128,Spawning,Spawning,
2011-05-09,2011,5,9,20,20 - 2011,Spring 2011,Spring,Before,Before,129,Spawning,Spawning,
2011-05-10,2011,5,10,20,20 - 2011,Spring 2011,Spring,Before,Before,130,Spawning,Spawning,
2011-05-11,2011,5,11,20,20 - 2011,Spring 2011,Spring,Before,Before,131,Spawning,Spawning,
2011-05-12,2011,5,12,20,20 - 2011,Spring 2011,Spring,Before,Before,132,Spawning,Spawning,
2011-05-13,2011,5,13,20,20 - 2011,Spring 2011,Spring,Before,Before,133,Spawning,Spawning,
2011-05-14,2011,5,14,20,20 - 2011,Spring 2011,Spring,Before,Before,134,Spawning,Spawning,
2011-05-15,2011,5,15,21,21 - 2011,Spring 2011,Spring,Before,Before,135,Spawning,Spawning,
2011-05-16,2011,5,16,21,21 - 2011,Spring 2011,Spring,Before,Before,136,Spawning,Spawning,
2011-05-17,2011,5,17,21,21 - 2011,Spring 2011,Spring,Before,Before,137,Spawning,Spawning,
2011-05-18,2011,5,18,21,21 - 2011,Spring 2011,Spring,Before,Before,138,Spawning,Spawning,
2011-05-19,2011,5,19,21,21 - 2011,Spring 2011,Spring,Before,Before,139,Spawning,Spawning,
2011-05-20,2011,5,20,21,21 - 2011,Spring 2011,Spring,Before,Before,140,Spawning,Spawning,
2011-05-21,2011,5,21,21,21 - 2011,Spring 2011,Spring,Before,Before,141,Spawning,Spawning,
2011-05-22,2011,5,22,22,22 - 2011,Spring 2011,Spring,Before,Before,142,Spawning,Spawning,
2011-05-23,2011,5,23,22,22 - 2011,Spring 2011,Spring,Before,Before,143,Spawning,Spawning,
2011-05-24,2011,5,24,22,22 - 2011,Spring 2011,Spring,Before,Before,144,Spawning,Spawning,
2011-05-25,2011,5,25,22,22 - 2011,Spring 2011,Spring,Before,Before,145,Spawning,Spawning,
2011-05-26,2011,5,26,22,22 - 2011,Spring 2011,Spring,Before,Before,146,Spawning,Spawning,
2011-05-27,2011,5,27,22,22 - 2011,Spring 2011,Spring,Before,Before,147,Spawning,Spawning,
2011-05-28,2011,5,28,22,22 - 2011,Spring 2011,Spring,Before,Before,148,Spawning,Spawning,
2011-05-29,2011,5,29,23,23 - 2011,Spring 2011,Spring,Before,Before,149,Spawning,Spawning,
2011-05-30,2011,5,30,23,23 - 2011,Spring 2011,Spring,Before,Before,150,Spawning,Spawning,
2011-05-31,2011,5,31,23,23 - 2011,Spring 2011,Spring,Before,Before,151,Spawning,Spawning,
2011-06-01,2011,6,1,23,23 - 2011,Spring 2011,Spring,Before,Before,152,Spawning,Spawning,
2011-06-02,2011,6,2,23,23 - 2011,Spring 2011,Spring,Before,Before,153,Spawning,Spawning,
2011-06-03,2011,6,3,23,23 - 2011,Spring 2011,Spring,Before,Before,154,Spawning,Spawning,
2011-06-04,2011,6,4,23,23 - 2011,Spring 2011,Spring,Before,Before,155,Spawning,Spawning,
2011-06-05,2011,6,5,24,24 - 2011,Spring 2011,Spring,Before,Before,156,Spawning,Spawning,
2011-06-06,2011,6,6,24,24 - 2011,Spring 2011,Spring,Before,Before,157,Spawning,Spawning,
2011-06-07,2011,6,7,24,24 - 2011,Summer 2011,Summer,Before,Before,158,Spawning,Spawning,
2011-06-08,2011,6,8,24,24 - 2011,Summer 2011,Summer,Before,Before,159,Spawning,Spawning,
2011-06-09,2011,6,9,24,24 - 2011,Summer 2011,Summer,Before,Before,160,Spawning,Spawning,
2011-06-10,2011,6,10,24,24 - 2011,Summer 2011,Summer,Before,Before,161,Spawning,Spawning,
2011-06-11,2011,6,11,24,24 - 2011,Summer 2011,Summer,Before,Before,162,Spawning,Spawning,
2011-06-12,2011,6,12,25,25 - 2011,Summer 2011,Summer,Before,Before,163,Spawning,Spawning,
2011-06-13,2011,6,13,25,25 - 2011,Summer 2011,Summer,Before,Before,164,Spawning,Spawning,
2011-06-14,2011,6,14,25,25 - 2011,Summer 2011,Summer,Before,Before,165,Spawning,Spawning,
2011-06-15,2011,6,15,25,25 - 2011,Summer 2011,Summer,Before,Before,166,Spawning,Spawning,
2011-06-16,2011,6,16,25,25 - 2011,Summer 2011,Summer,Before,Before,167,Spawning,Spawning,
2011-06-17,2011,6,17,25,25 - 2011,Summer 2011,Summer,Before,Before,168,Spawning,Spawning,
2011-06-18,2011,6,18,25,25 - 2011,Summer 2011,Summer,Before,Before,169,Spawning,Spawning,
2011-06-19,2011,6,19,26,26 - 2011,Summer 2011,Summer,Before,Before,170,Spawning,Spawning,
2011-06-20,2011,6,20,26,26 - 2011,Summer 2011,Summer,Before,Before,171,Spawning,Spawning,
2011-06-21,2011,6,21,26,26 - 2011,Summer 2011,Summer,Before,Before,172,Spawning,Spawning,
2011-06-22,2011,6,22,26,26 - 2011,Summer 2011,Summer,Before,Before,173,Spawning,Spawning,
2011-06-23,2011,6,23,26,26 - 2011,Summer 2011,Summer,Before,Before,174,Spawning,Spawning,
2011-06-24,2011,6,24,26,26 - 2011,Summer 2011,Summer,Before,Before,175,Spawning,Spawning,
2011-06-25,2011,6,25,26,26 - 2011,Summer 2011,Summer,Before,Before,176,Spawning,Spawning,
2011-06-26,2011,6,26,27,27 - 2011,Summer 2011,Summer,Before,Before,177,Spawning,Spawning,
2011-06-27,2011,6,27,27,27 - 2011,Summer 2011,Summer,Before,Before,178,Spawning,Spawning,
2011-06-28,2011,6,28,27,27 - 2011,Summer 2011,Summer,Before,Before,179,Spawning,Spawning,
